J3-P29,GPIO28,TB6612-2,BIN1,,M4电机方向1(冲突修复)
J3-P30,GPIO42,SSD1306,SDA,,I2C0 SDA(4.7kΩ→3.3V)
J3-P30,GPIO42,SHT30,SDA,,I2C0 SDA
J3-P31,GPIO27,LCD,RST,,LCD复位(display_lcd.h LCD_GPIO_RST=27)
J3-P32,GPIO41,SSD1306,SCL,,I2C0 SCL(4.7kΩ→3.3V)
J3-P32,GPIO41,SHT30,SCL,,I2C0 SCL
J3-P33,GPIO26,LCD,BL,,LCD背光PWM(display_lcd.h LCD_GPIO_BL=26)
J3-P34,GPIO40,MPU6050,INT,,中断引脚(可选,默认NC)
J3-P35,GPIO25,VL53L1X,XSHUT,,复位(从GPIO24让出)
J3-P36,GPIO39,SW2,OUT,,LEFT模式切换按键
J3-P37,GPIO24,CAM,XCLK,,摄像头主时钟(J4 FPC固定)
J3-P39,GND,GND,,,地
J3-P40,GND,GND,,,地

# ===== 电机驱动TB6612-1连接 =====
M1_PWM,GPIO2,TB6612-1,PWMA,,M1 PWM 10kHz
M1_IN1,GPIO45,TB6612-1,AIN1,,M1方向1
M1_IN2,GPIO1,TB6612-1,AIN2,,M1方向2
M1_OUT,TB6612-1,AO1,M1,+,M1电机正极
M1_OUT,TB6612-1,AO2,M1,-,M1电机负极
M3_PWM,GPIO9,TB6612-1,PWMB,,M3 PWM 10kHz
M3_IN1,GPIO22,TB6612-1,BIN1,,M3方向1
M3_IN2,GPIO23,TB6612-1,BIN2,,M3方向2
M3_OUT,TB6612-1,BO1,M3,+,M3电机正极
M3_OUT,TB6612-1,BO2,M3,-,M3电机负极

# ===== 电机驱动TB6612-2连接 =====
M2_PWM,GPIO6,TB6612-2,PWMA,,M2 PWM 10kHz
M2_IN1,GPIO3,TB6612-2,AIN1,,M2方向1
M2_IN2,GPIO4,TB6612-2,AIN2,,M2方向2
M2_OUT,TB6612-2,AO1,M2,+,M2电机正极
M2_OUT,TB6612-2,AO2,M2,-,M2电机负极
M4_PWM,GPIO20,TB6612-2,PWMB,,M4 PWM 10kHz(冲突修复)
M4_IN1,GPIO28,TB6612-2,BIN1,,M4方向1(冲突修复)
M4_IN2,GPIO29,TB6612-2,BIN2,,M4方向2(冲突修复)
M4_OUT,TB6612-2,BO1,M4,+,M4电机正极
M4_OUT,TB6612-2,BO2,M4,-,M4电机负极

# ===== 编码器连接 =====
ENC1_A,GPIO46,E1,A,,M1编码器A相
ENC1_B,GPIO36,E1,B,,M1编码器B相
ENC2_A,GPIO47,E2,A,,M2编码器A相
ENC2_B,GPIO31,E2,B,,M2编码器B相
ENC3_A,GPIO30,E3,A,,M3编码器A相
ENC3_B,GPIO32,E3,B,,M3编码器B相
ENC4_A,GPIO33,E4,A,,M4编码器A相
ENC4_B,GPIO34,E4,B,,M4编码器B相

# ===== I2C0总线 (OLED+SHT30) =====
I2C0_SDA,GPIO42,SSD1306,SDA,,I2C0数据线(4.7kΩ→3.3V)
I2C0_SDA,GPIO42,SHT30,SDA,,
I2C0_SCL,GPIO41,SSD1306,SCL,,I2C0时钟线(4.7kΩ→3.3V)
I2C0_SCL,GPIO41,SHT30,SCL,,

# ===== I2C1总线 (MPU6050+VL53L1X) =====
I2C1_SDA,GPIO54,MPU6050,SDA,,I2C1数据线(4.7kΩ→3.3V)
I2C1_SDA,GPIO54,VL53L1X,SDA,,
I2C1_SCL,GPIO53,MPU6050,SCL,,I2C1时钟线(4.7kΩ→3.3V)
I2C1_SCL,GPIO53,VL53L1X,SCL,,
VL53L1X_XSHUT,GPIO25,VL53L1X,XSHUT,,复位(从GPIO24让出，避免与摄像头XCLK冲突)
MPU6050_INT,GPIO40,MPU6050,INT,,中断(可选NC)

# ===== MQ气体传感器 =====
MQ135_AO,MQ135,AO,R3,IN,,MQ135→10kΩ→GPIO49
MQ135_AO,R3,OUT,GPIO49,,分压中点→ADC
MQ135_DIV,R4,1,GND,,GPIO49→20kΩ→GND
MQ135_DIV,R4,2,GPIO49,,下拉电阻
MQ136_AO,MQ136,AO,R5,IN,,MQ136→10kΩ→GPIO50
MQ136_AO,R5,OUT,GPIO50,,分压中点→ADC
MQ136_DIV,R6,1,GND,,GPIO50→20kΩ→GND
MQ136_DIV,R6,2,GPIO50,,下拉电阻

# ===== LCD显示控制 =====
LCD_BL,GPIO26,LCD,BL,,背光PWM(display_lcd.h LCD_GPIO_BL=26) — 非空闲!
LCD_RST,GPIO27,LCD,RST,,复位(display_lcd.h LCD_GPIO_RST=27) — 非空闲!

# ===== 板间通信(杜邦线×5) =====
UART_P4TX,GPIO10,C5,GPIO25,,P4→C5 杜邦线1白 38400-8-N-1
UART_P4RX,GPIO11,C5,GPIO24,,C5→P4 杜邦线2黑 38400-8-N-1
I2S_BCLK,GPIO0,C5,GPIO4,,C5→P4 BCLK 杜邦线3红
I2S_WS,GPIO51,C5,GPIO5,,C5→P4 WS 杜邦线4黄
I2S_SD,GPIO52,INMP441,SD,,麦克风→双板 杜邦线5蓝
I2S_SD,GPIO52,C5,GPIO6,,并联INMP441 SD

# ===== C5音频模块 =====
AUDIO_BCLK,C5_GPIO4,INMP441,BCLK,,麦克风位时钟
AUDIO_BCLK,C5_GPIO4,MAX98357A,BCLK,,功放位时钟(并联)
AUDIO_WS,C5_GPIO5,INMP441,WS,,麦克风帧时钟
AUDIO_WS,C5_GPIO5,MAX98357A,WS,,功放帧时钟(并联)
AUDIO_SD,INMP441,SD,C5_GPIO6,,麦克风数据输入
AUDIO_DOUT,C5_GPIO23,MAX98357A,DIN,,功放数据输入
AUDIO_SPK,MAX98357A,OUT,SPK,+,扬声器正极 8Ω/3W
AUDIO_SPK,MAX98357A,GND,SPK,-,扬声器负极

# ===== 按键 =====
KEY_FWD,GPIO48,SW1,GND,,前进(内部上拉,按下接地)
KEY_LEFT,GPIO39,SW2,GND,,模式切换(内部上拉,按下接地)
KEY_RIGHT,GPIO43,SW3,GND,,路径切换(内部上拉,按下接地)
KEY_BACK,GPIO44,SW4,GND,,急停(内部上拉,按下接地)

# ===== 预留拓展 =====
EXT_VCC,VCC3V3,H3,1,,拓展排针1×4P
EXT_GND,GND,H3,2,,
EXT_GPIO7,GPIO7,H3,3,,
EXT_GPIO8,GPIO8,H3,4,,
